dataset,method,precision_mean,precision_std,precision_median,precision_min,precision_max,recall_mean,recall_std,recall_median,recall_min,recall_max,f1_mean,f1_std,f1_median,f1_min,f1_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_median,false_positive_rate_min,false_positive_rate_max,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_median,false_negative_rate_min,false_negative_rate_max,specificity_mean,specificity_std,specificity_median,specificity_min,specificity_max,accuracy_mean,accuracy_std,accuracy_median,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,pr_auc_mean,pr_auc_std,pr_auc_median,pr_auc_min,pr_auc_max
finance,AI_CONSENSUS,0.2448463040450334,0.2078430234797107,0.21442622950819673,0.019620253164556962,0.7857142857142857,0.2794785638039075,0.3102355111140454,0.1906657819066578,0.06858407079646017,1.0,0.2276265873482736,0.22353751687597126,0.11179173047473201,0.03051181102362205,0.88,0.0793596820476319,0.0013741544337333013,0.07944546756701452,0.07711821410451547,0.08243426577944311,0.7205214361960925,0.3102355111140454,0.8093342180933422,0.0,0.9314159292035398,0.9206403179523681,0.0013741544337333416,0.9205545324329855,0.9175657342205569,0.9228817858954845,0.8433142857142858,0.0716368971669927,0.8432,0.7276,0.93835,0.6000594408781378,0.15506738777075132,0.5557631513060649,0.4946402614474686,0.9604563126662574,0.23282586378205683,0.18421839268892765,0.21735260141558707,0.021891334157413966,0.638376170940166
finance,HYBRID_V1,0.2006309360572056,0.16770987381504698,0.1670235546038544,0.015822002472187888,0.6415671424410136,0.4103292977037886,0.27355548706740246,0.39327582393275823,0.13802256138022562,1.0,0.2406117839763942,0.19069217115570178,0.19156600974782792,0.02846342005781632,0.7736892948098709,0.1934248363002647,0.013327496597005373,0.19940658890935134,0.1589895988112927,0.20873441436785323,0.5896707022962113,0.2735554870674024,0.6067241760672417,0.0,0.8619774386197744,0.8065751636997354,0.01332749659700536,0.8005934110906486,0.7912655856321468,0.8410104011887073,0.7570285714285715,0.0566102167709782,0.7735,0.64955,0.87115,0.608452230701762,0.14118506365728736,0.6037597943614176,0.4684879910719204,0.9105079204013755,0.246017191434832,0.20289382615829382,0.21571378033582386,0.024212107854459732,0.7543321337403004
finance,ISOLATION_FOREST,0.15553923101397688,0.12093602986573754,0.12288447387785136,0.018115942028985508,0.44238683127572015,0.10163175263144004,0.04790217667998855,0.08007078080070781,0.05530973451327434,0.20566121185316233,0.10605579939045298,0.06536125081685847,0.08846675712347354,0.027292576419213975,0.2660479505027069,0.06929197943136844,0.0012103184149529849,0.06967698291899205,0.06719657252381758,0.07108630700715937,0.8983682473685599,0.04790217667998856,0.9199292191992922,0.7943387881468377,0.9446902654867256,0.9307080205686317,0.0012103184149529643,0.930323017081008,0.9289136929928407,0.9328034274761824,0.8305738095238094,0.0717093571632176,0.8357,0.7325,0.91325,0.5161698866000358,0.023885722493877982,0.5047747228967588,0.4929965901950452,0.5688940818835122,0.15092890546697374,0.11304079543634321,0.11963611757547371,0.021870409389030246,0.4046119890249249
finance,LOCAL_OUTLIER_FACTOR,0.3601324909314079,0.31443433583271607,0.23734177215189872,0.014814814814814815,0.9568253968253968,0.20703363447873052,0.3403117908027167,0.0340632603406326,0.008626410086264101,1.0,0.22150421451567598,0.3043309516732951,0.05820721769499418,0.0110803324099723,0.9779364049318624,0.013842931353691775,0.0008567902199604435,0.013812154696132596,0.012339298404289684,0.016215517798307384,0.7929663655212694,0.34031179080271656,0.9659367396593674,0.0,0.9913735899137359,0.9861570686463081,0.0008567902199604382,0.9861878453038674,0.9837844822016926,0.9876607015957103,0.8922857142857142,0.08307142129345256,0.89645,0.76595,0.9898,0.5965953515625193,0.17008889765857202,0.5108619809681715,0.49762101367000405,0.9934104270301699,0.35120473676588054,0.3321795662366805,0.22515853550115436,0.02259710182239506,1.0
finance,RULE_ONLY,0.10102208339188777,0.08986999550770858,0.09939024390243903,0.0,0.23721503388786197,0.06882171476799763,0.030498131074535282,0.07964601769911504,0.0,0.11061946902654868,0.07025367515330869,0.04539228458389726,0.08356831581645732,0.0,0.12562732718147968,0.08304623612164114,0.0019024962474992412,0.08317986494782074,0.07997932682989857,0.0873441436785322,0.9311782852320024,0.030498131074535296,0.9203539823008849,0.8893805309734514,1.0,0.9169537638783589,0.0019024962474992364,0.9168201350521793,0.9126558563214678,0.9200206731701014,0.8148285714285715,0.07255219254341762,0.82175,0.7105,0.9004,0.4928877393231782,0.015102550056533008,0.49855552072449405,0.45841006752608965,0.5130291943045573,0.12042195939507347,0.08526682228296001,0.11282264324880237,0.02226181421480996,0.22700079364008557
healthcare,AI_CONSENSUS,0.8734316410069457,0.26190595268237654,1.0,0.21333333333333335,1.0,0.4413303952818391,0.478987133902632,0.08293210179817236,0.010416666666666666,1.0,0.46021500411368216,0.4643558579395142,0.14956521739130435,0.020618556701030927,1.0,0.004340962904498816,0.006328848287242812,0.0,0.0,0.014816675037669513,0.558669604718161,0.478987133902632,0.9170678982018277,0.0,0.9895833333333334,0.3289923704288345,0.476755744158031,0.0,0.0,0.9884480160723255,0.5860666849253979,0.44734383237508607,0.7932,0.010416666666666666,1.0,0.38516138285533674,0.3380013980938494,0.5,0.005208333333333333,0.9939728779507785,0.47449091176350944,0.20387782395149628,0.49337141290880876,0.19284822746778602,0.6929189261873457
healthcare,HYBRID_V1,0.8611942726585047,0.25884902823795125,1.0,0.16255144032921812,1.0,0.34902652252677435,0.3005690344792134,0.27210216110019647,0.07760314341846758,0.9774066797642437,0.4350547136041299,0.28048562030423,0.3585760517799353,0.10505319148936171,0.9174734900875979,0.020748128482935113,0.033428185566527616,0.0,0.0,0.10220994475138122,0.6509734774732256,0.3005690344792134,0.7278978388998035,0.022593320235756387,0.9223968565815324,0.3125852048503982,0.45321451548631403,0.0,0.0,0.9608237066800602,0.4596108054344364,0.32681926165434827,0.4607448167436376,0.09433962264150944,0.9642,0.3308058636885863,0.3220228599183911,0.2303724083718188,0.04716981132075472,0.969115193222152,0.5983736537790479,0.33200619971110723,0.5019972456780865,0.19386038406443762,0.9510297927518006
healthcare,ISOLATION_FOREST,0.758204078967113,0.35304595047523857,1.0,0.18181818181818182,1.0,0.015973312430342987,0.005080603197447344,0.01768172888015717,0.009040880503144654,0.02455795677799607,0.030975298364837638,0.009743407086119564,0.03333333333333333,0.017919750681729647,0.04626607794202342,0.003647365525818564,0.005335919869760059,0.0,0.0,0.013309894525364139,0.984026687569657,0.00508060319744736,0.9823182711198428,0.9754420432220039,0.9909591194968553,0.3296859678075148,0.47776091681723387,0.0,0.0,0.991210447011552,0.27421384007558575,0.37447255610490393,0.019357374471848286,0.009040880503144654,0.7936,0.17282964011892887,0.2390057745565684,0.009678687235924143,0.004520440251572327,0.5070052465959292,0.2331229426917472,0.029341098304954127,0.23513747468071997,0.19792335307466613,0.26773578543096493
healthcare,LOCAL_OUTLIER_FACTOR,0.9303277453185527,0.16172268443823912,1.0,0.4,1.0,0.43281968200575077,0.48584084613935363,0.06043038223445023,0.0013757861635220125,1.0,0.44815714927003436,0.4802777527729423,0.11397331356560415,0.002747791952894995,1.0,0.0006935973786802516,0.0011339983650776742,0.0,0.0,0.0032646911099949772,0.5671803179942492,0.48584084613935363,0.9395696177655498,0.0,0.998624213836478,0.33263973595465307,0.4820410594082966,0.0,0.0,0.9994977398292315,0.5826586753634082,0.45595591132731916,0.799,0.0013757861635220125,1.0,0.382729708980202,0.34232367361708477,0.5,0.0006878930817610062,0.9992466097438473,0.6604630768791286,0.3537452131563239,0.6244746667572967,0.1964661545923127,1.0
healthcare,RULE_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.48304589153964794,0.0,0.0,1.0,0.26546666666666663,0.3846977480221756,0.0,0.0,0.7964,0.16666666666666666,0.24152294576982397,0.0,0.0,0.5,0.2036,0.0,0.2036,0.2036,0.2036
