dataset,method,experiments,macro_precision,macro_recall,macro_f1,macro_fpr,macro_fnr,macro_balanced_accuracy,macro_pr_auc
finance,HYBRID_V1,21,0.2006309360572056,0.4103292977037886,0.2406117839763942,0.1934248363002647,0.5896707022962113,0.608452230701762,0.246017191434832
finance,AI_CONSENSUS,21,0.2448463040450334,0.2794785638039075,0.2276265873482736,0.0793596820476319,0.7205214361960925,0.6000594408781378,0.23282586378205683
finance,LOCAL_OUTLIER_FACTOR,21,0.3601324909314079,0.20703363447873052,0.22150421451567598,0.013842931353691775,0.7929663655212694,0.5965953515625193,0.35120473676588054
finance,ISOLATION_FOREST,21,0.15553923101397688,0.10163175263144004,0.10605579939045298,0.06929197943136844,0.8983682473685599,0.5161698866000358,0.15092890546697374
finance,RULE_ONLY,21,0.10102208339188777,0.06882171476799763,0.07025367515330869,0.08304623612164114,0.9311782852320024,0.4928877393231782,0.12042195939507347
healthcare,AI_CONSENSUS,21,0.8734316410069457,0.4413303952818391,0.46021500411368216,0.004340962904498816,0.558669604718161,0.38516138285533674,0.47449091176350944
healthcare,LOCAL_OUTLIER_FACTOR,21,0.9303277453185527,0.43281968200575077,0.44815714927003436,0.0006935973786802516,0.5671803179942492,0.382729708980202,0.6604630768791286
healthcare,HYBRID_V1,21,0.8611942726585047,0.34902652252677435,0.4350547136041299,0.020748128482935113,0.6509734774732256,0.3308058636885863,0.5983736537790479
healthcare,ISOLATION_FOREST,21,0.758204078967113,0.015973312430342987,0.030975298364837638,0.003647365525818564,0.984026687569657,0.17282964011892887,0.2331229426917472
healthcare,RULE_ONLY,21,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.2036
retail,AI_CONSENSUS,21,0.15265485618904875,0.6451852068179234,0.2310922068826216,0.171111456487819,0.35481479318207665,0.7370368751650522,0.2136877687391878
retail,LOCAL_OUTLIER_FACTOR,21,0.14169414681220802,0.4853605534222856,0.20385977777120828,0.1291676103695218,0.5146394465777144,0.6780964715263819,0.14466024159869617
retail,HYBRID_V1,21,0.1266320949604166,0.7008971954633594,0.2021529412918952,0.2502025863257592,0.2991028045366407,0.7253473045688,0.22983079788877103
retail,ISOLATION_FOREST,21,0.15964017594437502,0.3402212496637936,0.19781581980398433,0.06266502241940161,0.6597787503362065,0.6387781136221959,0.2147697629817423
retail,RULE_ONLY,21,0.048827572506055614,0.05896825396825397,0.04697429290748057,0.06680404607690196,0.941031746031746,0.496082103945676,0.05328776591500695
