dataset,method_a,comparison_method,experiments,mean_f1_difference,mean_fpr_difference
finance,HYBRID_V3_GOVERNED,AI_CONSENSUS,21,0.04022464153964307,0.06825075314549003
finance,HYBRID_V3_GOVERNED,RULE_ONLY,21,0.01811684364569321,0.05538550922761452
finance,HYBRID_V3_GOVERNED,HYBRID_V1,21,0.014790305177035192,0.012946912736386458
finance,HYBRID_V3_GOVERNED,HYBRID_V3_NESTED,21,0.060144103281656904,0.09290131895395054
finance,HYBRID_V3_NESTED,AI_CONSENSUS,21,-0.019919461742013835,-0.024650565808460496
finance,HYBRID_V3_NESTED,HYBRID_V1,21,-0.04535379810462171,-0.07995440621756407
healthcare,HYBRID_V3_GOVERNED,AI_CONSENSUS,21,0.11347737965721513,0.019282170071643793
healthcare,HYBRID_V3_GOVERNED,RULE_ONLY,21,0.1435897562525458,0.01252598668388143
healthcare,HYBRID_V3_GOVERNED,HYBRID_V1,21,0.1535169992521331,-0.029010404799878434
healthcare,HYBRID_V3_GOVERNED,HYBRID_V3_NESTED,21,0.20728756708228196,0.0071074656337814235
healthcare,HYBRID_V3_NESTED,AI_CONSENSUS,21,-0.09381018742506683,0.012174704437862373
healthcare,HYBRID_V3_NESTED,HYBRID_V1,21,-0.05377056783014883,-0.036117870433659854
retail,HYBRID_V3_GOVERNED,AI_CONSENSUS,21,0.0642976476958338,-0.017188223082959912
retail,HYBRID_V3_GOVERNED,RULE_ONLY,21,0.02728310010600022,0.18188691425533535
retail,HYBRID_V3_GOVERNED,HYBRID_V1,21,0.05937124474385613,0.1005361889572416
retail,HYBRID_V3_GOVERNED,HYBRID_V3_NESTED,21,-0.01828397416375901,0.11781116933748512
retail,HYBRID_V3_NESTED,AI_CONSENSUS,21,0.08258162185959284,-0.13499939242044504
retail,HYBRID_V3_NESTED,HYBRID_V1,21,0.07765521890761515,-0.017274980380243495
