dataset,hybrid_decision,records,true_anomalies,mean_hybrid_risk,mean_hybrid_trust,mean_rule_risk,mean_ai_consensus,anomaly_purity,decision_rate
finance,ACCEPT,174141,4340,0.2668124155791859,0.7331875844208141,0.0,0.4726240941248759,0.024922333051952152,0.8292428571428572
finance,ESCALATE,2487,115,0.4318211975774025,0.5681788024225974,0.0,0.5545234519501407,0.04624045034177724,0.011842857142857143
finance,QUARANTINE,10158,1516,0.6182046852973027,0.38179531470269734,0.0,0.8923662778105927,0.14924197676708012,0.04837142857142857
finance,REPAIR,23214,5229,0.3496130227879728,0.6503869772120272,0.17470491944516242,0.5282808283794262,0.22525200310157664,0.11054285714285714
healthcare,ACCEPT,198770,3981,0.27337335727851286,0.7266266427214871,0.0,0.48893768652211095,0.020028173265583336,0.9465238095238095
healthcare,ESCALATE,649,643,0.4317006513867489,0.5682993486132512,0.0,0.5537661787365177,0.9907550077041603,0.0030904761904761904
healthcare,QUARANTINE,5887,3376,0.514920164217768,0.485079835782232,0.1766604382537795,0.8057290725326991,0.5734669611007305,0.028033333333333334
healthcare,REPAIR,4694,3200,0.4126683931082233,0.5873316068917767,0.25,0.5798114081806562,0.6817213463996591,0.022352380952380953
retail,ACCEPT,149249,1313,0.25248867390233776,0.7475113260976624,0.0,0.42993902304203047,0.008797378876910398,0.7107095238095238
retail,ESCALATE,10577,27,0.39589681255318143,0.6041031874468185,0.0,0.4891310792285147,0.0025527087075730356,0.050366666666666664
retail,QUARANTINE,32228,6578,0.592657379945234,0.407342620054766,0.020005895494600967,0.8343663840449299,0.20410822886930619,0.15346666666666667
retail,REPAIR,17946,3282,0.353229872074557,0.646770127925443,0.2512258999219882,0.48919154686281063,0.18288197927114677,0.08545714285714286
