records,true_anomalies,predicted_anomalies,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,experiment_id,dataset,outer_fold,method,true_positive,false_positive,false_negative,true_negative,anomaly_type,anomaly_rate
10000.0,100.0,782.0,10.0,9128.0,772.0,90.0,0.01278772378516624,0.1,0.022675736961451247,0.07797979797979798,0.9,0.9220202020202021,0.511010101010101,finance_A1_r01_s42,finance,1.0,AI_CONSENSUS,,,,,,
10000.0,100.0,1400.0,100.0,8600.0,1300.0,0.0,0.07142857142857142,1.0,0.13333333333333333,0.13131313131313133,0.0,0.8686868686868687,0.9343434343434344,finance_A1_r01_s42,finance,1.0,HYBRID_V1,,,,,,
10000.0,100.0,562.0,9.0,9347.0,553.0,91.0,0.01601423487544484,0.09,0.02719033232628399,0.05585858585858586,0.91,0.9441414141414142,0.5170707070707071,finance_A1_r01_s42,finance,1.0,HYBRID_V3_NESTED,,,,,,
10000.0,100.0,946.0,100.0,9054.0,846.0,0.0,0.10570824524312897,1.0,0.19120458891013384,0.08545454545454545,0.0,0.9145454545454546,0.9572727272727273,finance_A1_r01_s42,finance,1.0,RULE_ONLY,,,,,,
10000.0,500.0,754.0,34.0,8780.0,720.0,466.0,0.04509283819628647,0.068,0.05422647527910686,0.07578947368421053,0.932,0.9242105263157895,0.4961052631578947,finance_A1_r05_s43,finance,3.0,AI_CONSENSUS,,,,,,
10000.0,500.0,1685.0,500.0,8315.0,1185.0,0.0,0.29673590504451036,1.0,0.45766590389016015,0.12473684210526316,0.0,0.8752631578947369,0.9376315789473684,finance_A1_r05_s43,finance,3.0,HYBRID_V1,,,,,,
10000.0,500.0,546.0,46.0,9000.0,500.0,454.0,0.08424908424908426,0.092,0.08795411089866156,0.05263157894736842,0.908,0.9473684210526315,0.5196842105263157,finance_A1_r05_s43,finance,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,500.0,1272.0,500.0,8728.0,772.0,0.0,0.39308176100628933,1.0,0.5643340857787811,0.08126315789473684,0.0,0.9187368421052632,0.9593684210526316,finance_A1_r05_s43,finance,3.0,RULE_ONLY,,,,,,
10000.0,1000.0,769.0,62.0,8293.0,707.0,938.0,0.08062418725617686,0.062,0.07009609949123798,0.07855555555555556,0.938,0.9214444444444444,0.49172222222222217,finance_A1_r10_s44,finance,3.0,AI_CONSENSUS,,,,,,
10000.0,1000.0,2186.0,1000.0,7814.0,1186.0,0.0,0.45745654162854527,1.0,0.6277463904582549,0.13177777777777777,0.0,0.8682222222222222,0.9341111111111111,finance_A1_r10_s44,finance,3.0,HYBRID_V1,,,,,,
10000.0,1000.0,561.0,78.0,8517.0,483.0,922.0,0.13903743315508021,0.078,0.09993593850096093,0.05366666666666667,0.922,0.9463333333333334,0.5121666666666667,finance_A1_r10_s44,finance,3.0,HYBRID_V3_NESTED,,,,,,
10000.0,1000.0,1786.0,1000.0,8214.0,786.0,0.0,0.5599104143337066,1.0,0.7178750897343862,0.08733333333333333,0.0,0.9126666666666666,0.9563333333333333,finance_A1_r10_s44,finance,3.0,RULE_ONLY,,,,,,
10000.0,100.0,761.0,10.0,9149.0,751.0,90.0,0.013140604467805518,0.1,0.023228803716608595,0.07585858585858586,0.9,0.9241414141414142,0.5120707070707071,finance_A2_r01_s142,finance,1.0,AI_CONSENSUS,,,,,,
10000.0,100.0,1434.0,100.0,8566.0,1334.0,0.0,0.0697350069735007,1.0,0.1303780964797914,0.13474747474747475,0.0,0.8652525252525253,0.9326262626262627,finance_A2_r01_s142,finance,1.0,HYBRID_V1,,,,,,
10000.0,100.0,538.0,11.0,9373.0,527.0,89.0,0.020446096654275093,0.11,0.034482758620689655,0.053232323232323235,0.89,0.9467676767676768,0.5283838383838384,finance_A2_r01_s142,finance,1.0,HYBRID_V3_NESTED,,,,,,
10000.0,100.0,1011.0,100.0,8989.0,911.0,0.0,0.09891196834817013,1.0,0.18001800180018004,0.09202020202020202,0.0,0.907979797979798,0.9539898989898989,finance_A2_r01_s142,finance,1.0,RULE_ONLY,,,,,,
10000.0,500.0,751.0,33.0,8782.0,718.0,467.0,0.043941411451398134,0.066,0.052757793764988015,0.07557894736842105,0.934,0.9244210526315789,0.49521052631578943,finance_A2_r05_s143,finance,2.0,AI_CONSENSUS,,,,,,
10000.0,500.0,2096.0,500.0,7904.0,1596.0,0.0,0.2385496183206107,1.0,0.3852080123266564,0.168,0.0,0.832,0.9159999999999999,finance_A2_r05_s143,finance,2.0,HYBRID_V1,,,,,,
